# titre;groupes;users;steps;videos;comment;Musique
K is For Kicks;;cp;K%20Is%20For%20Kicks.pdf;https://www.youtube.com/watch?v=AqScRRhoLf4&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=34&t=8s;
Kesi;w;p;;https://www.youtube.com/watch?v=3hOrq76H65w;(ntnr);KESI Camilo & Shawn Mendes
Knock Off;ar;p;Knock_Off.pdf;https://www.youtube.com/watch?v=p-W6sS4p-U8; (r3 après 16 comptes faire 1/4 pour revenir à 12:00. r4 qui débute à 12:00, après 32 comptes, face à 12:00 
Katchi;;p;;https://www.youtube.com/watch?v=hVkACcsUHvo&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=33&t=0s;
La Cucaracha;;pc;;https://www.youtube.com/watch?v=4zvRsodVGos&t=191s;
La Cucaracha (en couple);r;pc;;https://www.youtube.com/watch?v=5i1my0cY2zw;
La Fiesta Cubana;;c;La%20Fiesta%20Cubana.pdf;https://www.youtube.com/watch?v=eeYH71zxcjk;
Lay Around;;cp;Lay%20Around.pdf;https://www.youtube.com/watch?v=MdwygsS2Buc&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=35&t=0s;
Let To Dance The Country;;;;https://www.youtube.com/watch?v=8jX4MHHWXAE;
Like I Love Country Music;r;;Like_I_Love_Country_Music.pdf;https://www.youtube.com/watch?v=92HYfQi2_aQ;(t5, break 7);"Like I Love Country Music" de Kane BROWN
Like I Love You;;p;Lily.pdf;https://www.youtube.com/watch?v=dsy40otYG0k;(t5)
Limbo;m;;;https://www.youtube.com/watch?v=H-rnYJk8UjM;;Limbo -- Daddy Yankee
Lindi Shuffle;d;cp;Lindy%20Shuffle.pdf;https://www.youtube.com/watch?v=GoNpXAbqFIY&t=85s;
Little Wagon Wheel;;;;https://www.youtube.com/watch?v=m3h6Nr1Smw0;
Live Laugh Love;;p;;https://www.youtube.com/watch?v=WlgXjvGeZN8|https://www.youtube.com/watch?v=i5vv4oRtvNc;
Legend;;p;;https://www.youtube.com/watch?v=QGLP4ELVu0o&list=PLyEOrXN4p89Qbx8U4VSuW6T587EewGypB&index=54&t=55s;
Lento;;p;Lento.pdf;https://www.youtube.com/watch?v=XZfAFEYLUP8&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=36&t=0s;
Locash;i;pc;Locash.pdf;https://www.youtube.com/watch?v=7NoaDnfAp9s;(t4,8)
Lonely drum;;;;https://www.youtube.com/watch?v=hBhW_phpGzk&t=12s; un tag facile
